latitude	PM2.5	NOx	PM10	C2H3NO5	CH4	longitude	Pb	TEMP	NH3	SO2	O3	CO	PAHs	H2CO	PRES	warning	CFCs
43.1122		8.59212	6.23663	0.08787	7.44459	12.38878	40.86515	18.99473		5.03751	9.59642	9.31719	8.46676	44.80728	1101.11039	0.00000	64.62435
53.95278	5.07882	9.09759	10.18801	3.23687	9.55009	32.86389	49.57416	36.15912	11.74127	10.93505	12.26223	9.28748	7.65965	57.92192	1141.29231	1.00000	69.94777
38.45598	8.13633	8.64410	6.29437	0.24732	9.65143	48.87498	47.44004	4.48013	9.15751	6.20957	9.73088	10.26329	5.96775	52.66790	1105.17990	0.00000	81.44758
41.85059	6.70926	8.09961	5.13424	0.08979	8.86311	-87.882	22.41352	23.20202	7.94053	10.21290	7.44266	6.58529	8.05066	50.91413	1055.12958	0.00000	76.71215
49.41029	8.70542	7.64217	7.88861	0.50210	7.02649	38.15035	64.81067	4.32956	8.21480	7.27697	11.05995	6.59326	7.45525	46.79024	1174.97851	1.00000	77.05822
48.79325	5.62327	7.18610	10.23072	3.28686	7.03716	2.29275	57.40195	20.72295	10.37733	8.20919	9.72461	9.56882	8.31718	47.33261	1100.80132	1.00000	73.34190
52.41667	9.75600	9.02915	6.76959	0.18440	8.23792	0.75	61.79971	3.74301	7.58013	7.60120	9.40209	6.54607	6.64456	53.62451	1125.14041		90.63392
35.06667	11.48519	9.50782	6.31338	0.27407	8.56567	135.21667	64.85471	16.90377	5.61892	7.88665	9.96649	8.02476	8.51995	44.27071	1166.36810	1.00000	63.82624
48.79325	7.67276	6.92640	8.07862	0.53816	10.03290	2.29275	49.79627	26.82970	8.76706	11.04795	9.18970	9.51113	9.01348	66.43571	1152.61593	1.00000	70.72738
44.22639	11.26245	8.40436	6.97576	0.33509	7.90387	22.53083	53.72538	17.60859	10.53028	5.34305	8.54057	9.81783	7.92223	66.91838	1175.58234		66.07132
25.49043	10.11564	7.12474	5.42569	0.23200	8.32988	85.94001	55.70597	29.42686	9.89496	7.07732	9.78673	9.66644	7.93029	59.24730	1196.85959	0.00000	74.99214
65.93381	8.23784	8.89306	7.91580	0.47111	6.35647	111.4834	63.54003	9.45858	9.93091	7.98935	10.86934	6.20876	9.61377	53.16949	1193.56658	1.00000	74.79304
54.39635	10.19110	8.46698	7.35558	0.37814	9.52230	24.04142	51.65862	15.79346	5.72848	6.41209	10.29804	4.93300	7.91023	38.38708	1189.99034	1.00000	84.66864
51.40944	8.50529	8.00713	10.77912	5.68782		46.04833	43.77655	10.04905	11.69032	7.66247	5.89141	8.69146	8.20209	50.44087	1187.50269	0.00000	79.29326
5.27247	9.83585	8.64409	5.71491	0.08789	9.31974	-3.59625	49.56412	31.15403	5.31136	6.64710	7.94479	9.30881	10.57120	52.56511	1100.30613	1.00000	71.96257
25.6439	9.27156	6.20341	7.41644	0.27199	9.10196	77.9129	45.11185	20.11294	9.41257	5.19754	9.30014	9.06220	7.27424	69.47441	1174.36121	0.00000	72.85295
25.92493	3.86331	7.06272	11.40521	10.47390	8.48445	73.66633	71.42439	19.21595	12.14318	7.69480	10.81095	10.07528	7.80111	62.10848	1197.04773	1.00000	78.26070
31.84568	8.44658	7.16605	4.77282	0.11503	7.83348	-102.36764	36.20862	-1.45389	8.69163	6.11080	11.13865	8.97794	8.41445	57.92711	1156.05486	0.00000	70.47907
41.1053	5.12769	6.18604	6.91627	0.33572	7.07389	-7.32097	48.70975	18.58752	5.80539	11.24241	7.84258	5.13606	7.64529	51.89121	1194.10253	0.00000	79.22769
34.56861	8.21404	7.80942	7.82136	0.40857	9.31142	105.89333	64.71742	13.32516	9.09600	7.13938	9.87802	3.93994	9.09412	57.71045	1143.65065	1.00000	81.51187
47.48444	10.23624	8.16894	3.82289	0.22805	6.73495	36.25361	70.90879	25.87583	9.00938	7.15188	10.68966	9.72974	6.81673	38.38133	1187.59374	0.00000	60.11913
27.71809	6.36949	9.00564	11.79403	15.41169	9.29576	-82.35176	28.07222	16.21330	7.60482	8.36002	8.07473	8.22906	7.27316	47.04363	1098.64547	0.00000	
45.49428	7.33363	8.77492	7.26570	0.31256	7.12464	-122.86705	75.71198	11.02494	4.38417	8.48052	9.48179	11.02310	6.76414	30.08307	1132.81659	1.00000	80.66561
50.64336	10.03868	8.74649	7.14060	0.27479	7.17992	7.2278	57.26629	11.43603	6.09057	6.50185	10.42466	6.84785	9.39688	54.44085	1061.29836	1.00000	58.51420
50.75	7.68087	8.90315	9.79489	2.11523	7.42567	2.25	73.29302	11.31576	11.27156	9.84376	8.90563	9.25126	8.14483	54.27584	1076.08684	1.00000	72.93308
41.1053	3.51244	8.63352	11.41515	10.63461	8.75472	-7.32097	49.16363	9.96809	12.31832	8.17658	11.68392	10.33308	9.14355	65.85068	1078.70059	1.00000	86.41185
54.90083	9.46180	9.59690	8.50000	0.68766	9.57083	38.07083	50.73374	1.35957	4.98966	5.10428	11.61021	4.41639	7.54351	46.17625	1193.52365	1.00000	77.51874
41.57439	9.48993	8.55170	5.68017	0.16772	8.70867	24.71204	56.54616	5.46174	7.24673	7.46532	7.81550	7.74015	5.25793	55.28943	1140.75389	1.00000	65.54537
-3.74912	6.43381	7.83273	7.53409	0.30772	7.79636	-73.25383	37.79597	7.27117	7.99843	8.48789	5.67594	7.84816	10.06702	47.56491	1148.29302	0.00000	80.37231
40.64621	10.37259	8.67212	5.58804	0.20084	9.26352	-73.97069	65.72659	4.89913	5.66518	7.05894	8.05313	7.91511	8.24373	55.39927	1123.05201	1.00000	71.72865
52.71083	11.67054	7.72360	5.50031	0.07724	10.22453	5.74861	34.82187	32.95489	4.61312	5.88409	9.90230	6.71912	10.12951	62.28197	1178.38006	1.00000	70.48562
32.55531	7.87149	7.86768	8.69368	0.81068	8.84836	76.12647	61.56899	9.09911	4.84765	8.47198	7.00610	8.89150	8.83341	61.59055	1176.27191	0.00000	72.82665
-34.74785	9.30170	8.99174	5.06547	0.08050	9.15790	-58.70072	47.39602	36.16635	10.27514	5.63389	10.39259	8.82440	8.67895	60.46238	1052.77137	0.00000	65.62954
16.68911	8.65157	6.70634	7.00032	0.30980	7.89262	98.50893	47.05483	7.79066	10.76759	6.72365	9.76848	7.66316	7.25034	42.65676	1099.46062	0.00000	75.28673
43.86682	7.96225	7.76549	7.46210	0.29968	8.33674	-79.2663	41.48252	15.83306	3.92719	9.60517	8.52852	8.73348	8.12516	46.44558	1051.09518	0.00000	77.07561
41.6764	8.42643	7.31855	8.98232	1.03567	7.59039	-91.58045	47.09197	11.19857	9.89217	11.68828	8.88758	7.64067	8.73771	37.40248	1175.12727	1.00000	62.66967
44.59445	10.16257	8.55057	7.27362	0.25702	7.32231	11.04979	53.79917	-3.12993	8.00918	11.37271	8.45886	10.93812	9.74506	51.73225	1092.33513	1.00000	65.77641
49.03685	8.44436	7.99841	9.60355	1.80783	8.84918	8.70745	72.25697	14.65644	8.46021	8.81489	8.77297	8.57471	7.55222	47.69568	1120.20169	1.00000	72.86385
33.3213	10.42768	9.80409	5.38280	0.18442	7.75180	130.94098	60.48047	6.59577	5.76708	5.62946	9.54617	7.73189	6.90146	69.45836	1136.57453	1.00000	75.97023
39.12074	8.56767	8.07763	7.58017	0.35630	5.93766	27.18052	60.90347	20.72431	9.86658	9.50181	8.99425	6.51277	9.06084	56.82102	1152.48555	1.00000	68.05901
23.0072	8.68979	6.99830	7.87234	0.55735	8.67879	-82.4017	49.51802	-5.15632	8.88413	9.19306	9.27209	6.84112	7.42695	41.76425	1103.49882	1.00000	73.61187
-6.91806	8.61260	7.54160	6.02085	0.22409	7.15128	106.92667	46.56224	7.64082	7.91401	6.33622	8.52457	6.21260	7.85759	46.37746	1086.90210	1.00000	71.91773
53.51684	12.13131	8.21232	7.81257	0.40001	6.90137	-113.3187	48.49102	9.64049	7.05999	10.00240	8.13002	10.27939	8.66819	45.71351	1056.66897	0.00000	78.16340
8.62261	7.45073	9.25936	8.62765	0.88872	9.59020	-70.20749	75.89766	14.16928	8.48474	7.05728	9.54985	4.19748	6.69943	27.93811	1190.45421	1.00000	81.63618
39.32011	5.44310	7.96327	7.34869	0.38360	9.38365	-76.51552	39.70475	-4.51765	6.88743	8.64522	6.41210	6.54817	9.86817	55.16537	1140.53589		72.22231
-19.32556	6.74799	7.59142	8.44487	0.70493	7.92958	-41.25528	63.64943	34.80532	3.90374	9.76712	7.76825	7.51877	8.67703	25.38337	1077.43731	0.00000	72.92704
12.95629	7.45442	8.55338	8.46898	0.71014	8.71298	78.27539	61.67784	17.69310	8.89225	8.82197	8.82635	7.31577	8.10361	54.27359	1149.43199	1.00000	72.62531
61.72744	5.32926	8.05594	10.67804	5.16493	7.61048	17.10558	62.07518	2.21227	8.32472	6.98678	9.72853	9.12072	5.90777	38.41913	1184.63316	1.00000	72.15637
39.12074	9.17086	6.56146	9.56469	1.86711	8.21064	27.18052	80.17881	33.93519	6.82874	8.20537	11.59492	6.55470	9.41725	45.47046	1064.24051	1.00000	73.68027
48.77644	9.18156	6.20464	7.21041	0.21669	6.65180	2.29026	45.29878	25.11054	6.12443	7.09412	9.21132	8.42642	7.68102	56.81064	1102.32767	1.00000	69.08171
48.86667	8.85464	8.22190	7.60381	0.33504	6.83324	2.08333	56.55833	-2.44018	2.55693	8.29193	7.62805	7.62511	9.22718	54.96809	1190.49948	0.00000	69.26646
30.5427	9.82268	9.52609	7.26489	0.26538	6.32033	-97.54667	70.17796	25.78410	9.86299	6.60494	9.13314	8.80902	9.12373	71.21356	1195.09878	0.00000	70.27560
44.22639	9.53403	8.76690	7.51588	0.24641	8.96174	22.53083	70.68393	16.21934	7.17618	8.94781	9.21531	9.17206	7.91060	43.44493	1137.14596	1.00000	79.38025
-8.05389	6.66517	8.72792	7.62717	0.34987	6.02588	-34.88111	47.77644	17.95558	5.30442	9.59510	7.76616	7.40887	8.88051	26.70754	1198.05223	0.00000	69.26711
-19.72806	9.83408	8.23383	4.31705	0.13738	8.82953	-50.19556	67.39844	45.61345	3.51117	1.76945	8.20167	4.56112	6.87316	29.74975	1092.97138	1.00000	75.18172
49.65186	9.62393	6.74815	6.83202	0.24795	6.75604	26.97253	64.24415	9.61900	9.22746	6.86835	8.66538	10.93576	10.01305	56.44770	1127.92131	0.00000	77.92911
16.06213	8.08776	6.93551	7.13421	0.21488	5.66009	76.0586	53.69266	16.90989	8.71152	6.52725	10.06939	5.84991	7.63868		1089.84200	1.00000	66.93120
41.55815	12.46007	8.02592	6.46522	0.30726	8.04301	-73.0515	63.52055	-1.71299	8.29666	7.49772	7.74643	12.65921	7.15004	38.02905	1080.11688	0.00000	72.35194
53.77166	5.83709	7.68659	8.78959	0.91811	7.63803	38.12408	64.04214	27.34539	7.79133	9.66003	12.43272	10.80821	6.70224	55.32244	1162.35688	1.00000	72.67767
10.10649	6.73157	7.25865	9.83425	2.24688	7.70815	76.35484	51.83105	33.20183	6.82686	8.51041	5.09436	9.74442	8.44566	42.75688	1092.75664	0.00000	76.51498
34.31	5.12378	8.72992	8.86807	1.05669	7.87063	-2.16	66.37709	25.75040	9.37568	9.96851	10.41890	10.41715	7.79257	59.31970	1177.43589	1.00000	74.98083
40.72816	9.25257	9.85029	5.75251	0.16002	9.37781	-74.07764	61.91111	31.72733	4.61379	5.42201	7.15763	7.14046	8.17440	59.08631	1116.55321	1.00000	74.24040
42.62833	5.68424	7.66031	9.47789	1.68300	9.02618	20.89389	31.65263	28.11749	13.56796	10.23597	8.07793	10.82604	7.29334	43.45089	1197.55002	1.00000	74.93366
5.27247	8.29279	7.69994	8.37870	0.78738	6.53003	-3.59625	63.03127	13.53856	8.80060	10.52360	8.78868	9.32174	8.77964	65.45486	1118.83333	1.00000	79.87718
53.77166	7.08251	7.74643	10.25725	3.36762	8.57794	38.12408	52.23653	18.89009	10.29760	9.62223	9.67481	8.40620	7.25947	42.74162	1050.98898	1.00000	84.76808
-10.91722	8.64556	8.64354	7.42994	0.39927	8.62636	-37.65	23.57831	8.73674	7.26542	10.36808	6.48744	8.75371	6.12947	46.81147	1100.62501	1.00000	73.03143
40.53123	5.63972	8.28177	8.72176	0.83890	8.31798	17.58522	63.20996	26.92348	12.32766	11.80915	8.47358	9.46760	8.95584	67.78525	1069.74749	1.00000	76.92818
-17.73648	8.60832	8.52517	7.71333	0.47961	5.96285	168.31366	70.62800	10.75484	8.06577	7.97606	8.93361	10.31542	7.24136	43.85546	1165.54201	0.00000	74.04937
46.65581	5.54407	6.67673	8.12064	0.62751	7.40872	32.6178	58.42575	8.88033	4.86943	8.96435	12.06507	10.47669	7.57704	46.01207	1148.45399	1.00000	80.98410
25.80565	6.78157	8.36679	4.94699	0.13116	10.45999	68.49143	53.98720	19.17075	8.63893	11.42827	6.55895	4.10555	8.97840	26.13374	1101.23660	0.00000	72.45390
-24.19436	8.77685	9.67513	6.67634	0.26112	8.25490	29.00974	63.68432	16.15733	7.64681	7.81414	8.32770	8.33484	6.80151	58.57802	1150.72880	1.00000	72.90858
-3.14306	8.99300	7.00389	5.42839	0.25072	7.02348	-58.44417	53.39973	19.56725	8.59097	5.86144	10.69518	8.98808	6.13425	33.59088	1107.61470	0.00000	76.92794
13.56667	4.35325	9.06555	5.72253	0.15967	8.46206	-15.6	45.32426	20.70767	7.15706	13.53006	9.84742	6.55321	7.23619	47.86528	1155.60491	0.00000	69.62275
41.63976	6.81837	6.17080	5.16159	0.20269	8.40144	2.35739	62.88240	17.80648	10.96463	10.03693	5.41981	6.50566	7.08025	55.65017	1123.91666	0.00000	80.95516
23.07492	9.57702	8.78529	5.13105	0.22361	6.65651	88.28637	54.20934	2.75505	13.23697	2.06302	11.00049	6.06815	8.50411	38.04744	1089.44519	0.00000	74.23435
-26.22861	10.01213	8.48221	6.27891	0.22802	5.85879	-52.67056	59.79292	11.36374	10.18388	4.07552	9.42499	9.70753	6.91138	28.47433	1188.53412	0.00000	84.85521
18.42745	7.70485	6.61555	8.99191	1.07986	8.72529	-67.15407	52.28453	7.18547	8.20923	9.97693	9.39786	8.52972	6.28253	49.22766	1148.58126	1.00000	84.08851
19.64745	8.32174	7.16254	6.55893	0.18140	7.04305	-102.04897	67.22972	11.65438	7.27364	5.06035	9.57108	4.90688	8.30975	42.68334	1171.89018	1.00000	67.92132
27.92333	9.40658	8.64692	7.54843	0.39229	7.16784	118.53333	39.96990	29.26844	7.45626	7.24758	10.67891	6.80101	8.07896	47.42369	1083.02696	1.00000	79.34420
50.8	5.55954	8.75968	8.66591	0.88070	7.77147	3.16667	62.60062	13.46256	5.65965	9.69748	7.62477	8.58173	7.95315	48.67476	1163.44714	0.00000	
-1.26424	8.67725	8.20074	9.49302	1.70639	8.09066	104.09701	49.91317	40.75665	7.79394	8.01024	8.11361	9.19815	7.55924	30.06052	1134.95989	1.00000	81.18016
-54.8	5.60867	9.35226	8.51049	0.65073	8.52660	-68.3	75.41175	32.31853	6.83256	7.22074	8.72303	11.20813	7.51145	44.34951	1102.07236	1.00000	77.51022
47.48444	9.02071	9.24881		0.24718	7.96060	36.25361	35.27926	17.13996	6.72686	5.40768	10.14272	5.39091	6.75515	43.87989	1086.79992	1.00000	63.51818
40.94065	9.34639	9.28392	7.55789	0.41125	7.51599	-73.99681	20.89020		12.24962	5.76385	9.68651	5.81412	7.90620	35.19619	1119.29123	0.00000	66.92055
41.16704	9.40759	7.77188	8.60857	0.67044	8.58574	-73.20483	26.84568	0.01138	8.89052	8.53585	7.57210	11.25798	7.10447	36.73815	1080.10890	0.00000	72.69868
41.09822	5.74840	8.22725	7.32741	0.26445	8.04340	120.74792	39.67946	16.65709	7.11883	10.19334	7.25580	7.69804	7.56624	64.71442	1182.95307	0.00000	85.71508
1.6	10.86292	7.78877	9.16715	1.24607	9.55988	103.81667	48.49863	14.56199	10.05747	7.48620	7.21747	9.97376	8.91023	57.44353	1111.10171	0.00000	75.64540
45.16024	5.06494	6.84557	5.21722	0.18306	9.02189	-93.08883	49.21909	21.43804	8.11213	9.01796	6.92440	5.22574	8.42169	43.91790	1119.03935	0.00000	81.03868
52.53048	8.88102	10.46760	7.30994	0.40670	10.06215	13.29371	72.28333	15.34425	7.04760	6.17816	9.82236	5.15135	6.30690	30.24292	1139.65157	1.00000	63.73337
-28.44917	9.00842	8.00518	5.68206	0.16648	6.78827	-52.2	64.25904	9.43338	6.22520	5.81596	7.73403	6.84641	8.04047	46.96481	1198.70934	1.00000	79.65014
-6.8048	3.73249	8.48248	12.44921	29.64192	8.34090	110.8405	62.84523	6.49722	11.22315	5.50247	11.11213	10.21704	6.91146	65.55529	1137.08484	1.00000	74.34586
10.13361	5.88422	9.84357	6.73549	0.28570	6.76659	124.84472	78.51793	8.67290	9.58697	8.02787	4.78818	6.54831	8.89700	25.26486	1090.83364	0.00000	78.42965
54.8421	3.13549	5.38069	7.18343	0.34487	7.69162	46.5813	42.80965	9.60930	7.27871	10.95513	7.19535	4.38353	7.84478	33.63605	1196.07186	0.00000	78.09995
28.15112	7.84594	6.78692	9.50349	1.72870	9.57393	-82.46148	51.12806	-0.65684	11.71626	11.32588	8.41633	8.30855	9.34643	47.22322	1110.74861	1.00000	76.16967
8.35122	11.07230	8.19679	7.31985	0.31804	6.82890	-62.64102	62.27816	22.01965	5.90768	7.22326	11.59152	7.37408	8.05525	48.78447	1196.36557	1.00000	83.71323
-36.9256	6.90435	8.15345	9.50758	1.70124	7.19694	-73.02841	65.61646	19.20695	10.49421	9.03601	7.24116	9.04349	6.54917	47.95623	1099.29361	1.00000	80.40640
37.16911	7.36886	8.37362	9.69933	2.02652	8.21718	10.03478	51.46260	25.02972	10.84123	10.73128	9.54592	8.49374	7.43267	62.81891	1088.03393	1.00000	63.77075
17.06542	5.91121	8.19941	5.63198	0.18782	7.37757	-96.72365	56.04651	15.76641	7.52045	9.37400	5.47022	2.88990	9.20237	55.70168	1053.00447	0.00000	64.64650
54.58048	8.03565	10.16864	9.08475	1.13034	7.76075	16.86194	23.79130	17.43387	7.42226	9.12559	8.58245	8.06487	6.27411	68.61107	1192.20861	1.00000	73.55618
51.04962	8.34651	7.13623	9.88508	2.34300	6.80224	12.1369	57.37423	0.02079	8.40782	10.14373	10.06621	6.88744	7.16847	41.06913	1138.95272	1.00000	52.39760
37.31309	9.00476	8.14407	4.46378	0.21079	8.32675	40.74357	51.70393	-3.22888	6.15527	5.97945	5.44572	6.89992	7.33827	55.97708	1075.73289	1.00000	72.26742
45.47885	6.06408	6.34967	4.42017	0.19157	8.08490	133.42825	36.04349	2.12006	6.97006	7.94139	6.29358	3.34657	7.16019	60.41976	1192.50115	0.00000	74.10953
47.92526	8.06200	6.47300	8.15834	0.65612	8.40447	-97.03285	45.04090	24.26199	7.99452	10.01453	8.50378	9.69536	6.75989	58.28674	1119.13434	1.00000	63.46083
37.56667	8.85916	7.31889	9.93002	2.57456	8.44939	140.11667	45.77033	18.26391	10.99160	6.70683	7.75031	8.32274	6.62420	47.78297	1091.15812	0.00000	77.58007
55.25	9.48256	8.82419	7.86454	0.44726	5.51720	24.75	33.78169	-10.54751	7.98320	11.67640	7.81488	7.85571	7.47346	51.70630	1105.60170	1.00000	74.16542
-8.66667	7.36134	10.58950	7.41755	0.42533	7.89875	-35.71667	35.06651	28.81208	5.12533	9.66749	7.18058	6.61802	9.47283	60.24631	1192.28055	0.00000	82.76074
48.86667	8.84703	9.05722	8.41741	0.53463	7.33543	2.08333	37.32643	20.20101	5.65928	6.10274	10.25352	5.43480	8.68433	70.12229	1082.79319	1.00000	67.16033
41.20485	5.50411	7.27784	10.13678	3.03633	6.79719	-8.33147	64.36784	10.84909	9.53359	7.82987	9.63967	9.78719	6.62778	64.14765	1189.08596	1.00000	70.45459
25.6439	7.59349	6.05891	11.38000	10.21298	8.15087	77.9129	34.18256	12.30403	9.01135	8.68129	7.09822	9.64127	6.70169	41.20769	1185.99046	0.00000	80.24904
54.03876	9.77057	8.70488	7.91629	0.43021	8.80925	43.91385	43.63742	16.16945	5.86325	6.14696	11.25971	6.37167	8.40428	38.93750	1100.52116	1.00000	74.73162
39.09112	9.69913	6.80701	5.45652	0.12387	7.90329	-94.41551	57.06124	19.21606	7.11116	9.33309	9.00468	13.07010	8.72256	58.99897	1089.34811	0.00000	73.91895
25.49043	5.04515	6.25379	10.87558	6.28981	6.96696	85.94001	65.13493	13.09527	11.28982	8.34064	9.64448	9.25318	10.01118	50.57172	1144.48707	1.00000	93.46276
51.82721	8.40168	8.38711	6.51320	0.20754	6.84271	107.60627	44.72818	40.71614	8.23949	7.80381	8.05620	7.65797	8.40303	64.20509	1136.57660	1.00000	64.01799
36.64852	6.94766	8.59652	8.35993	0.54299	8.67796	51.49621	59.08127	20.41125	8.67052	10.91619	10.31262	9.54256	6.64253	48.82908	1128.83271	1.00000	73.26001
40.64621	8.31112	7.57969	5.92519	0.20962	7.43839	-73.97069	35.36503	16.58952	7.13792	7.70894	6.27169	9.30991	8.50103	20.39256	1120.01429	1.00000	69.50044
-34.74785	5.04950	7.80365	9.20684	1.35328	9.96452	-58.70072	61.71632	37.56043	11.78036	9.95620	8.42149		7.63781	37.79401	1074.80531	1.00000	58.46465
48.77644	9.21209	8.05587	7.65175	0.32919	8.69019	2.29026	45.06877	0.45667	10.81469	4.73928	9.21800	7.95915	7.00892	59.79134	1157.40059	0.00000	80.02001
11.15583	9.56725	7.67075	6.43217	0.18355	7.56068	42.7125	35.32117	22.82361	8.07903	7.79762	8.68085	5.77937	6.35164	64.27837	1197.30484	1.00000	79.25195
44.22639	8.94149	7.53725	8.52887	0.76207	6.53660	22.53083	47.92402	27.38215	8.49432	10.76476	9.33069	9.47909	7.97470	47.52636	1106.10525	1.00000	71.11140
-4.42472	8.73561	8.31625	6.70994	0.22696	9.19545	-41.45861	53.64286	28.49468	6.77368	6.15724	8.46250	5.67354	7.28127	40.78737	1108.15969	1.00000	76.93566
25.49043	10.97077	8.16779	5.07432	0.15596	8.69990	85.94001	53.25176	15.29296	4.65535	5.14854	9.08142	6.68000	6.89874	45.84194	1199.70366	1.00000	68.05966
-0.35817	9.54966	8.66611	6.67721	0.27010	6.59781	42.54536	80.21084	14.83803	7.49019		9.91356	5.74792	8.02932	60.45564	1146.49260	1.00000	71.70501
12.95629	9.84032	7.17295	7.03101	0.23763	10.13970	78.27539	42.01902	29.22598	6.42709	6.07108	11.20331	6.88254	8.60915	52.57093	1155.60617	1.00000	69.36831
11.86064	7.43899	6.13152	6.98492	0.30449	7.16128	9.0027	48.83453	19.53207	9.70735	7.48235	9.93802	8.60910	7.83717	43.57531	1082.56273	0.00000	88.53986
42.24113	5.55829	8.30848	9.66063	1.98833	8.57397	-88.3162	33.17515	16.39682	9.29639	9.76814	11.96059	9.85726	7.91536	49.87870	1077.50945	1.00000	83.48721
22.75218	9.55851	8.27073	5.26082	0.16643	7.64928	72.68533	67.74185	7.71384	5.93200	7.03112	7.09628	8.87287	7.78664	47.13615	1092.19551	1.00000	87.49330
-6.91806	11.87775	7.94138	3.32908	0.18375	7.42744	106.92667	58.44207	12.60202	7.36043	8.06082	10.12834	12.24585	7.99878	63.00706	1169.87448	0.00000	79.26687
51.62907	7.50136	7.47059	7.37260	0.34696	9.11059	-0.74934	61.24831	23.76719	7.46941	11.94688	10.56677	9.44715	7.69783	34.99069	1111.10350	1.00000	63.10384
-12.91667	9.81542	7.63902	5.59011	0.22722	6.82328	-39.25	55.09578	10.02024	6.77114	7.76234	7.38546	8.22907	8.28571	37.05281	1131.76703	1.00000	62.49389
-10.91722	8.81821	8.39817	5.82107	0.16884	8.38906	-37.65	50.10879	10.81318	7.43406	8.37791	6.87394	9.98076	9.09797	68.85596	1110.20863	1.00000	70.83763
12.35275	10.61260	8.81650	7.21061	0.35315	8.91565	121.06761	75.43260	16.91831	10.47615	7.06798	8.36985	9.55452	8.33760	75.18733	1170.82391	0.00000	77.74241
-34.28853	9.82162	8.88878	6.61453	0.27530	7.48711	146.05093	55.74319	1.81420	6.46327	5.13295	10.78297	4.33349	8.69659	53.10655	1109.69250	1.00000	71.77889
32.44874	4.76226	6.31010	9.94882	2.51104	7.23370	-99.73314	46.83064	-0.20710	8.65348	8.04160	10.66388	9.68756	8.31775	37.82481	1084.24488	1.00000	66.34902
-26.93366	9.91623	9.72484	7.32576	0.37113	6.65076	29.24152	55.25346	12.10496	5.48328	6.98353	9.09324	5.89471	9.43721	39.99892	1067.60875	1.00000	67.21948
7.06273	7.06823	7.29460	5.24560	0.22204	8.84438	-1.4001	54.27269	22.32364	8.44733	9.86004	7.09860	6.56372	6.68520	57.45528	1178.11725	0.00000	71.54908
